Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2021-04-25,985027,540989,34054,23855,9777,695863,0
2021-04-26,1955370,1156913,89303,46752,21083,826605,3761
2021-04-27,2041698,1198299,89028,47310,22603,839788,4020
2021-04-28,2135793,1227777,92150,50011,24412,888723,4027
2021-04-29,2028524,1166096,88705,47785,22201,873037,3881
2021-04-30,2159476,1185321,93530,57364,22322,922720,3699
2021-05-01,1515211,818655,51067,41395,13263,849633,0
2021-05-02,1153471,620063,41827,32683,11541,809865,0
2021-05-03,1971010,1165505,91084,45800,21492,828506,3744
2021-05-04,2120071,1227250,93107,49415,22962,851039,4181
2021-05-05,2074543,1158445,91994,48351,23236,841968,3851
2021-05-06,2199943,1258536,94244,52748,23792,905604,4168
2021-05-07,2238033,1222741,101637,61477,22730,936747,3827
2021-05-08,1444674,779188,56309,42664,13339,854156,0
2021-05-09,1107878,576000,54074,37795,13897,854809,856
2021-05-10,1990039,1149109,96813,50090,20751,844563,3850
2021-05-11,2148322,1231886,97358,51588,22751,873176,4227
2021-05-12,2182277,1238990,98930,53548,23946,887381,4193
2021-05-13,2163052,1182347,103047,55558,23439,918259,4112
2021-05-14,2266974,1220112,104885,63394,22437,947064,3963
2021-05-15,1637231,844096,63079,49401,13516,891574,11
2021-05-16,1201904,621750,49166,36227,11062,814177,14
2021-05-17,2022584,1157960,98458,52803,20779,810018,3990
2021-05-18,2150049,1215676,100430,54920,22367,838307,4321
2021-05-19,2257549,1253578,104762,56851,23784,915644,4367
2021-05-20,2269471,1243965,106604,57425,23659,931659,4441
2021-05-21,2331876,1221591,110077,67283,22520,965528,4264
2021-05-22,1645268,839877,66293,51249,13397,911148,1787
2021-05-23,1268928,645466,58005,40613,11765,885740,1358
2021-05-24,2118877,1192453,105528,55179,21563,869940,4252
2021-05-25,2270945,1253998,110871,58737,22854,902577,4683
2021-05-26,2275882,1241052,114548,59613,23594,921084,4429
2021-05-27,2352019,1246269,117293,62852,23450,970920,4619
2021-05-28,2232599,1135369,112780,66048,21520,931760,4047
2021-05-29,1370135,648192,54774,38894,11734,744860,1332
2021-05-30,1065176,484864,43418,30072,10028,664029,956
2021-05-31,1389651,702801,102292,43039,10380,756187,1651
